CodOp,NomePrograma,EixoPrioritario,TxCofinanciamentoFinal,ObjetivoTematico,PrioridadeInvestimento,DesignacaoOperacao,SiglaFundoOperacao,BeneficiarioOperacao,DataPrevIn,DataPrevFim,CustoTotalElegivelAprovado,ApoioTotalAprovado,Pais,DesignacaoNUTSII_Dominante,DesignacaoNUTSIII_Dominante,ConcelhoDominante,FreguesiaDominante,CodigoDomínioIntervencaoDominante,ResumoDaOperacao
ALG-07-5470-FSE-000005,Programa Operacional Regional do Algarve,"07 - Reforçar as competências
",80%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Centros Qualifica,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",03-01-2017,30-09-2018,251332.11,201065.69,PT,Algarve,,,,VII01117,"  A atividade do Centro Qualifica promovido pelo CEFP de Faro da rede do IEFP, IP enquadra-se na estratégia nacional de revitalização da educação e formação de adultos, definida no quadro do Programa Qualifica e assente na complementaridade entre reconhecimento, validação e certificação de competências (RVCC) e a obrigatoriedade de frequência de formação certificada.  Tem como principais atribuições o desenvolvimento de processos de  RVCC ."
ALG-07-5470-FSE-000006,Programa Operacional Regional do Algarve,"07 - Reforçar as competências
",80%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Centros Qualifica,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",01-09-2017,30-09-2018,103644.58,82915.66,PT,Algarve,,,,VII01117,"A atividade do Centro Qualifica promovido pelo CEFP de Faro da rede do IEFP, IP enquadra-se na estratégia nacional de revitalização da educação e formação de adultos, definida no quadro do Programa Qualifica e assente na complementaridade entre reconhecimento, validação e certificação de competências (RVCC) e a obrigatoriedade de frequência de formação certificada.  Tem como principais atribuições o desenvolvimento de processos de RVCC."
ALG-07-5470-FSE-000008,Programa Operacional Regional do Algarve,"07 - Reforçar as competências
",80%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Centros Qualifica,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-01-2017,30-09-2018,167554.74,134043.79,PT,Algarve,,,,VII01117,"A atividade do CQ promovido pelo CEFP do Barlavento da rede do IEFP, IP enquadra-se na estratégia nacional de revitalização da educação e formação de adultos, definida no quadro do Programa Qualifica e assente na complementaridade entre RVCC e a obrigatoriedade de frequência de formação certificada.Tem como principais atribuições o desenvolvimento de processos de orientação e processos de RVCC escolar e profissional. "
ALG-07-5470-FSE-000020,Programa Operacional Regional do Algarve,"07 - Reforçar as competências
",80%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Aprendizagem ao longo da vida - Centros Qualifica,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",01-10-2018,31-12-2020,260597.81,208478.25,PT,Algarve,Algarve,Faro,,VII01117,"A atividade do Centro Qualifica promovido pelo CEFP de Faro da rede do IEFP, IP enquadra-se na estratégia nacional de revitalização da educação e formação de adultos, definida no quadro do Programa Qualifica e assente na complementaridade entre reconhecimento, validação e certificação de competências (RVCC) e a obrigatoriedade de frequência de formação certificada.  Tem como principais atribuições o desenvolvimento de processos de  RVCC."
ALG-07-5470-FSE-000021,Programa Operacional Regional do Algarve,"07 - Reforçar as competências
",80%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Aprendizagem ao longo da vida - Centros Qualifica,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",01-10-2018,31-12-2020,208478.24,166782.59,PT,Algarve,Algarve,Albufeira,,VII01117,"A atividade do Centro Qualifica promovido pelo CEFP de Faro da rede do IEFP, IP enquadra-se na estratégia nacional de revitalização da educação e formação de adultos, definida no quadro do Programa Qualifica e assente na complementaridade entre reconhecimento, validação e certificação de competências (RVCC) e a obrigatoriedade de frequência de formação certificada. Tem como principais atribuições o desenvolvimento de processos de RVCC."
ALG-07-5470-FSE-000024,Programa Operacional Regional do Algarve,"07 - Reforçar as competências
",80%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Aprendizagem ao longo da vida - Centros Qualifica,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",01-10-2018,31-12-2020,215427.52,172342.02,PT,Algarve,Algarve,Portimão,,VII01117,"A atividade do CQ promovido pelo CEFP do Barlavento da rede do IEFP, IP enquadra-se na estratégia nacional de revitalização da educação e formação de adultos, definida no quadro do Programa Qualifica e assente na complementaridade entre RVCC e a obrigatoriedade de frequência de formação certificada. Tem como principais atribuições o desenvolvimento de processos de orientação e processos de RVCC escolar e profissional."
ALG-07-5571-FSE-000001,Programa Operacional Regional do Algarve,"07 - Reforçar as competências
",80%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","04 - Melhoria da pertinência do ensino e da formação ministrados para o mercado de trabalho, facilitação a transição da educação para o trabalho e reforço dos sistemas de ensino e formação profissionais e da sua qualidade, inclusive através de mecanismos de antecipação de competências, adaptação dos currículos e criação e desenvolvimento de sistemas de ensino baseados no trabalho, nomeadamente sistemas de ensino dual e de aprendizagem ",Cursos de Especialização Tecnológica (CET),FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",07-12-2015,19-05-2017,167977.66,134382.13,PT,Algarve,Algarve,,,VII01118,"Os Cursos de Especialização Tecnológica (CET), são cursos pós-secundários, não superiores, que conferem uma qualificação profissional de nível 5 do quadro nacional de qualificações, e são regulados pelo Decreto-Lei n.º 88/2006, de 23 de maio. Os CET visam responder às necessidades das empresas e às exigências colocadas por um mercado de trabalho em permanente mudança e acentuado desenvolvimento científico e tecnológico."
ALT20-02-5571-FSE-000002,Programa Operacional Regional do Alentejo,02 - Ensino e qualificação do capital humano,85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","04 - Melhoria da pertinência do ensino e da formação ministrados para o mercado de trabalho, facilitação a transição da educação para o trabalho e reforço dos sistemas de ensino e formação profissionais e da sua qualidade, inclusive através de mecanismos de antecipação de competências, adaptação dos currículos e criação e desenvolvimento de sistemas de ensino baseados no trabalho, nomeadamente sistemas de ensino dual e de aprendizagem ",Cursos de Especialização Tecnológica (CET),FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",21-09-2015,12-02-2018,794649.3,675451.91,PT,Alentejo,,,,VII01118,"Os Cursos de Especialização Tecnológica (CET), são cursos pós-secundários, não superiores, que conferem uma qualificação profissional de nível 5 do quadro nacional de qualificações, e são regulados pelo Decreto-Lei n.º 88/2006, de 23 de maio.
Os CET visam responder às necessidades das empresas e às exigências colocadas por um mercado de trabalho em permanente mudança e acentuado desenvolvimento científico e tecnológico.
"
ALT20-02-5571-FSE-000004,Programa Operacional Regional do Alentejo,02 - Ensino e qualificação do capital humano,85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","04 - Melhoria da pertinência do ensino e da formação ministrados para o mercado de trabalho, facilitação a transição da educação para o trabalho e reforço dos sistemas de ensino e formação profissionais e da sua qualidade, inclusive através de mecanismos de antecipação de competências, adaptação dos currículos e criação e desenvolvimento de sistemas de ensino baseados no trabalho, nomeadamente sistemas de ensino dual e de aprendizagem ",Cursos de Especialização Tecnológica (CET),FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",18-04-2017,25-03-2019,650014.33,552512.18,PT,Alentejo,,,,VII01118,"Os cursos de Especialização Tecnológica (CET), são cursos pós secundários, não superiores, que conferem uma qualificação profissional de nível 5 do quadro nacional de qualificações, e são regulados pelo Decreto-Lei n.º 88/2006, de 23 de maio.
Os CET visam responder às necessidades das empresas e às exigências do mercado de trabalho em permanente mudança e acentuado desenvolvimento científico e tecnológico."
ALT20-02-5675-FEDER-000001,Programa Operacional Regional do Alentejo,02 - Ensino e qualificação do capital humano,85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida",05 - Desenvolvimento das infraestruturas educativas e formativas ,REMODELAÇÃO E BENEFICIAÇÃO DE INFRAESTRUTURAS DE FORMAÇÃO PROFISSIONAL,FEDER,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",02-09-2014,31-12-2019,2188939.8,1860598.83,PT,Alentejo,,,,III01050,"A operação consiste na realização de empreitadas nos edifícios de 3 Serviços de Formação Profissional do IEFP,I.P.(SFP), de sua propriedade, situados na NUT Alentejo, no valor global 2 188 939,80 EUR.
Serão executadas intervenções nos seguintes SFP: 
a)	SFP de Santarém
        Valor:511 059,18EUR;
b)	SFP de Évora
        Valor: 931 606,44 EUR;
c)	SFP de Beja
        Valor: 746 274,17 EUR.
"
ALT20-02-5675-FEDER-000002,Programa Operacional Regional do Alentejo,02 - Ensino e qualificação do capital humano,85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida",05 - Desenvolvimento das infraestruturas educativas e formativas ,Aquisição de equipamentos e máquinas para a formação profissional,FEDER,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",01-10-2014,31-10-2020,2282767.02,1940351.97,PT,Alentejo,,,,III01050,"A qualificação de mão-de-obra resultante da formação profissional constitui-se como um elemento de enorme significância no desenvolvimento das competências pessoais e profissionais das populações, potenciando novas oportunidades de emprego. A crescente dinâmica do tecido económico e empresarial exige ao IEFP a disponibilização de áreas profissionais em que se impõe o recurso a meios tecnológicos adequados e em constante atualização."
ALT20-06-4230-FSE-000002,Programa Operacional Regional do Alentejo,06 - COESÃO SOCIAL E INCLUSÃO,85%,09 - Promover a integração social e combater a pobreza e qualquer discriminação,"01 - Inclusão ativa, incluindo com vista à promoção da igualdade de oportunidades e da participação ativa e a melhoria da empregabilidade ",Trabalho Socialmente Necessário (CEI e CEI+),FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",01-03-2014,31-12-2016,18931304.78,16091609.06,PT,Alentejo,,,,VI01109,"Realização, por desempregados subsidiados, de trabalho socialmente necessário que satisfaça necessidades sociais ou coletivas temporárias, no âmbito de projetos promovidos por entidades coletivas públicas ou privadas sem fins lucrativos, durante um período máximo de 12 meses."
ALT20-06-4230-FSE-000004,Programa Operacional Regional do Alentejo,06 - COESÃO SOCIAL E INCLUSÃO,85%,09 - Promover a integração social e combater a pobreza e qualquer discriminação,"01 - Inclusão ativa, incluindo com vista à promoção da igualdade de oportunidades e da participação ativa e a melhoria da empregabilidade ",Inclusão ativa de grupos vulneráveis - Trabalho Socialmente Necessário (CEI e CEI+) - Alentejo,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",01-01-2017,31-12-2019,4373281.95,3717289.66,PT,Alentejo,,,,VI01109,"Realização, por desempregados de trabalho socialmente necessário que satisfaça necessidades sociais ou coletivas temporárias, no âmbito de projetos promovidos por entidades coletivas públicas ou privadas sem fins lucrativos, durante um período máximo de 12 meses."
CENTRO-03-5571-FSE-000004,Programa Operacional Regional do Centro,03 - Desenvolver o potencial humano (APRENDER),85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","04 - Melhoria da pertinência do ensino e da formação ministrados para o mercado de trabalho, facilitação a transição da educação para o trabalho e reforço dos sistemas de ensino e formação profissionais e da sua qualidade, inclusive através de mecanismos de antecipação de competências, adaptação dos currículos e criação e desenvolvimento de sistemas de ensino baseados no trabalho, nomeadamente sistemas de ensino dual e de aprendizagem ",Cursos de Especialização Tecnológica (CET),FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",19-10-2015,12-01-2018,1125986.75,957088.74,PT,Centro,,,,VII01118,"Os Cursos de Especialização Tecnológica (CET), são cursos pós-secundários, não superiores, que conferem uma qualificação profissional de nível 5 do quadro nacional de qualificações, e são regulados pelo Decreto-Lei n.º 88/2006, de 23 de maio.
Os CET visam responder às necessidades das empresas e às exigências colocadas por um mercado de trabalho em permanente mudança e acentuado desenvolvimento científico e tecnológico."
CENTRO-03-5571-FSE-000013,Programa Operacional Regional do Centro,03 - Desenvolver o potencial humano (APRENDER),85%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","04 - Melhoria da pertinência do ensino e da formação ministrados para o mercado de trabalho, facilitação a transição da educação para o trabalho e reforço dos sistemas de ensino e formação profissionais e da sua qualidade, inclusive através de mecanismos de antecipação de competências, adaptação dos currículos e criação e desenvolvimento de sistemas de ensino baseados no trabalho, nomeadamente sistemas de ensino dual e de aprendizagem ",Cursos de Especialização Tecnológica (CET),FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",17-05-2017,20-12-2018,1409834.46,1198359.29,PT,Centro,,,,VII01118,"Os Cursos de Especialização Tecnológica (CET), são cursos pós-secundários, não superiores, que conferem uma qualificação profissional de nível 5 do quadro nacional de qualificações, e são regulados pelo Decreto-Lei n.º 88/2006, de 23 de maio.
Os CET visam responder às necessidades das empresas e às exigências colocadas por um mercado de trabalho em permanente mudança e acentuado desenvolvimento científico e tecnológico.
"
CENTRO-05-4230-FSE-000002,Programa Operacional Regional do Centro,05 - Fortalecer a coesão social e territorial (APROXIMAR E CONVERGIR),85%,09 - Promover a integração social e combater a pobreza e qualquer discriminação,"01 - Inclusão ativa, incluindo com vista à promoção da igualdade de oportunidades e da participação ativa e a melhoria da empregabilidade ",Trabalho Socialmente Necessário (CEI e CEI+),FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",20-02-2014,31-12-2016,29576217.0,25139784.45,PT,Centro,,,,VI01109,"Realização, por desempregados subsidiados, de trabalho socialmente necessário que satisfaça necessidades sociais ou coletivas temporárias, no âmbito de projetos promovidos por entidades coletivas públicas ou privadas sem fins lucrativos, durante um período máximo de 12 meses."
LISBOA-05-3118-FSE-000001,Programa Operacional Regional de Lisboa,05 - Promover a sustentabilidade e a qualidade do emprego e apoiar a mobilidade dos trabalhadores ,50%,08 - Promover a sustentabilidade e a qualidade do emprego e apoiar a mobilidade laboral,"01 - Acesso ao emprego para os candidatos a emprego e os inativos, incluindo os desempregados de longa duração e as pessoas afastadas do mercado de trabalho, e através de iniciativas locais de emprego e apoio à mobilidade dos trabalhadores ",Apoios à contratação para adultos - Lisboa,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",01-11-2014,31-10-2016,7908679.22,3954339.61,PT,Área Metropolitana de Lisboa,,,,V01102,"Salientam-se os apoios financeiros ao empregador pela contratação de desempregados inscritos nos serviços de emprego, associados à criação líquida de postos de trabalho e ao reforço de vínculos laborais mais estáveis, combatendo a segmentação e a precariedade no mercado de trabalho. As medidas de apoio à contratação incluem o reembolso de uma percentagem da Taxa Social Única paga pelo empregador."
LISBOA-05-3118-FSE-000002,Programa Operacional Regional de Lisboa,05 - Promover a sustentabilidade e a qualidade do emprego e apoiar a mobilidade dos trabalhadores ,50%,08 - Promover a sustentabilidade e a qualidade do emprego e apoiar a mobilidade laboral,"01 - Acesso ao emprego para os candidatos a emprego e os inativos, incluindo os desempregados de longa duração e as pessoas afastadas do mercado de trabalho, e através de iniciativas locais de emprego e apoio à mobilidade dos trabalhadores ",Estágios para Adultos - Lisboa,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",16-02-2014,31-12-2016,5353562.12,2676781.06,PT,Área Metropolitana de Lisboa,,,,V01102,"As medidas de estágios profissionais visam complementar e desenvolver as competências dos desempregados (adultos) que procuram um primeiro ou um novo emprego, de forma a melhorar o seu perfil de empregabilidade, através da aquisição de novas formações e competências junto das empresas, com vista à criação de emprego, nomeadamente em novas áreas profissionais tendo como objetivo o apoio à transição entre o sistema de qualificações e o mercado de "
LISBOA-05-3118-FSE-000003,Programa Operacional Regional de Lisboa,05 - Promover a sustentabilidade e a qualidade do emprego e apoiar a mobilidade dos trabalhadores ,50%,08 - Promover a sustentabilidade e a qualidade do emprego e apoiar a mobilidade laboral,"01 - Acesso ao emprego para os candidatos a emprego e os inativos, incluindo os desempregados de longa duração e as pessoas afastadas do mercado de trabalho, e através de iniciativas locais de emprego e apoio à mobilidade dos trabalhadores ",Integração dos adultos no mercado laboral - Apoios à contratação para adultos - Lisboa,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",01-01-2016,31-12-2019,13836680.38,6918340.19,PT,Área Metropolitana de Lisboa,Área Metropolitana de Lisboa,,,V01102,"Medidas de apoio à contratação que consistem na concessão de um apoio financeiro ao empregador que celebre contrato de trabalho com desempregado inscrito nos serviços de emprego, tendo em vista combater o desemprego, fomentando a criação líquida de postos de trabalho e promovendo a contratação de públicos mais desfavorecidos e o reforço de vínculos laborais mais estáveis e combatendo a segmentação e a precariedade no mercado de trabalho."
